question_number,question_text,question_length,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,option_count,correct_answer_numbers,correct_answer_text,required,keyword,image,short_last_option
1,Người có Giấy phép lái xe mô tô hạng A1 được cấp sau ngày 01/01/2025 được phép điều khiển loại xe nào dưới đây?,111,Xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,92,Xe mô tô ba bánh.,17,Cả hai ý trên.,14,,0,3,1,Xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,True,xe mô tô,False,True
2,"Trong các biển dưới đây biển nào là biển ""Hết tốc độ tối thiểu""?",64,Biển 1.,7,Biển 2.,7,Biển 3.,8,Cả ba biển.,13,4,3,Biển 3.,True,tốc độ,True,False
3,"Người điều khiển phương tiện tham gia giao thông đường bộ phải quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn trong các trường hợp nào dưới đây?",152,Có báo hiệu cảnh báo nguy hiểm hoặc có chướng ngại vật trên đường; chuyển hướng xe chạy hoặc tầm nhìn bị hạn chế.,113,"Nơi cầu, cống hẹp, đập tràn, đường ngầm, hầm chui, hầm đường bộ; có vật nuôi đi trên đường hoặc chăn thả ở ven đường.",117,"Điểm dừng xe, đỗ xe trên đường bộ có khách đang lên, xuống xe.",62,Cả ba ý trên.,13,4,4,Cả ba ý trên.,True,tốc độ,False,True
4,"Trong các biển dưới đây biển nào là biển ""Hết mọi lệnh cấm""?",60,Biển 1.,7,Biển 2.,7,Biển 3.,7,Cả ba biển.,13,4,2,Biển 2.,True,biển,True,False
5,"Trong hình dưới, những xe nào vi phạm quy tắc giao thông?",57,"Xe con (B), xe mô tô (C).",25,"Xe con (A), xe mô tô (C).",25,"Xe con (E), xe mô tô (D).",25,Tất cả các loại xe trên.,24,4,3,"Xe con (E), xe mô tô (D).",True,giao thông,False,False
6,Khi gặp hiệu lệnh điều khiển của Cảnh sát giao thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,157,Người tham gia giao thông đường bộ ở các hướng phải dừng lại.,61,Người tham gia giao thông đường bộ ở các hướng được đi theo chiều gậy chỉ của Cảnh sát giao thông.,98,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển được đi tất cả các hướng; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển phải dừng lại.,202,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,202,4,4,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,True,giao thông,False,False
7,Biển phụ đặt dưới biển cấm bóp còi có ý nghĩa như thế nào?,58,Báo khoảng cách đến nơi cấm bóp còi.,36,Chiều dài đoạn đường cấm bóp còi từ nơi đặt biển.,49,Báo cấm dùng còi có độ vang xa 500m.,36,,0,3,2,Chiều dài đoạn đường cấm bóp còi từ nơi đặt biển.,True,biển,False,False
8,Biển nào báo hiệu nguy hiểm giao nhau với đường sắt?,52,Biển 1 và Biển 2.,17,Biển 1 và Biển 3.,17,Biển 2 và Biển 3.,17,Cả ba biển.,11,4,2,Biển 1 và Biển 3.,True,biển,True,False
9,"Khi đang lái xe, phía trước có một xe Cảnh sát giao thông không phát tín hiệu ưu tiên, người lái xe có được phép vượt hay không?",128,Không được vượt.,16,Được phép vượt ở phần đường dành cho người đi bộ qua đường.,59,Được vượt khi bảo đảm an toàn.,30,,0,3,3,Được vượt khi bảo đảm an toàn.,True,giao thông,False,True
10,Biển nào cấm máy kéo?,21,Biển 1.,7,Biển 2 và biển 3.,19,Biển 1 và biển 3.,19,Cả ba biển.,13,4,2,Biển 2 và biển 3.,True,biển,True,False
