question_number,option_count,question_text,question_length,question_space_count,correct_answer_numbers,image,keyword,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,correct_answer_text,Required,short_last_option,rules
21,3,"Trong tình huống dưới đây, xe đầu kéo kéo rơ moóc (xe container) đang rẽ phải, xe con màu xanh và xe máy phía sau xe container đi như thế nào để bảo đảm an toàn?",161,35,[2],False,xe con,Vượt về phía bên phải để đi tiếp.,33,Giảm tốc độ chờ xe container rẽ xong rồi tiếp tục đi.,53,Vượt về phía bên trái để đi tiếp.,33,,0,Giảm tốc độ chờ xe container rẽ xong rồi tiếp tục đi.,False,False,ルール8
22,3,"Khi điều khiển xe mô tô tay ga xuống đường dốc dài, độ dốc cao, người lái xe cần thực hiện các thao tác nào dưới đây để bảo đảm an toàn?",136,31,[1],False,xe mô tô,"Giữ tay ga ở mức độ phù hợp, sử dụng phanh trước và phanh sau để giảm tốc độ.",77,"Nhả hết tay ga, tắt động cơ, sử dụng phanh trước và phanh sau để giảm tốc độ.",77,Sử dụng phanh trước để giảm tốc độ kết hợp với tắt chìa khóa điện của xe.,73,,0,"Giữ tay ga ở mức độ phù hợp, sử dụng phanh trước và phanh sau để giảm tốc độ.",False,False,ルール8
23,3,"Khi đang lái xe mô tô hoặc ô tô, nếu có nhu cầu sử dụng điện thoại để nhắn tin hoặc gọi điện, người lái xe phải thực hiện như thế nào trong các tình huống nêu dưới đây?",168,38,[2],False,xe mô tô,Giảm tốc độ để bảo đảm an toàn với xe phía trước và sử dụng điện thoại để liên lạc.,83,Giảm tốc độ để dừng xe ở nơi cho phép sau đó sử dụng điện thoại để liên lạc.,76,Tăng tốc độ để cách xa xe phía sau và sử dụng điện thoại để liên lạc.,69,,0,Giảm tốc độ để dừng xe ở nơi cho phép sau đó sử dụng điện thoại để liên lạc.,False,False,ルール8
28,3,Biển số 1 có ý nghĩa như thế nào?,33,8,[3],False,biển,Đi thẳng hoặc rẽ trái trên cầu vượt.,36,Đi thẳng hoặc rẽ phải trên cầu vượt.,36,Báo hiệu cầu vượt liên thông.,29,,0,Báo hiệu cầu vượt liên thông.,False,False,ルール7
30,3,"Khi điều khiển xe chạy trên đường, biết có xe sau xin vượt, nếu đủ điều kiện an toàn người điều khiển phương tiện phải làm gì?",126,26,[2],False,an toàn,"Tăng tốc độ và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe xin vượt.",80,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",247,"Cho xe đi sát về bên trái của phần đường xe chạy và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe xin vượt.",117,,0,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",False,False,ルール5
35,3,"Trong các hành vi dưới đây, người lái xe có văn hóa giao thông phải ứng xử như thế nào?",87,19,[1],False,giao thông,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; dừng, đỗ xe đúng nơi quy định; đã uống rượu, bia thì không lái xe.",156,"Điều khiển xe đi trên phần đường, làn đường có ít phương tiện giao thông; dừng xe, đỗ xe ở nơi thuận tiện hoặc theo yêu cầu của hành khách, của người thân.",155,"Dừng và đỗ xe ở nơi thuận tiện cho việc chuyên chở hành khách và giao nhận hàng hóa; sử dụng ít rượu, bia thì có thể lái xe.",124,,0,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; dừng, đỗ xe đúng nơi quy định; đã uống rượu, bia thì không lái xe.",False,False,ルール5
38,3,"Người lái xe, người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy phải thực hiện quy định nào dưới đây?",119,27,[1],False,xe mô tô,Đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.,80,"Người lái xe phải đội mũ bảo hiểm, người được chở trên xe không nhất thiết phải đội mũ bảo hiểm.",96,Phải đội mũ bảo hiểm nhưng không nhất thiết phải cài quai.,58,,0,Đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.,False,False,ルール8
43,3,Biển này có ý nghĩa như thế nào?,32,7,[2],False,biển,Chỉ hướng đi phải theo.,23,Biển báo hiệu cho người lái xe biết số lượng làn đường trên mặt đường và hướng đi trên mỗi làn đường phải theo.,111,Chỉ hướng đường phải theo.,26,,0,Biển báo hiệu cho người lái xe biết số lượng làn đường trên mặt đường và hướng đi trên mỗi làn đường phải theo.,False,False,ルール8
48,3,"Để đạt được hiệu quả phanh cao nhất, người lái xe mô tô phải sử dụng các kỹ năng như thế nào dưới đây?",102,23,[3],False,xe mô tô,Sử dụng phanh trước.,20,Sử dụng phanh sau.,18,"Giảm hết ga, sử dụng đồng thời cả phanh sau và phanh trước.",59,,0,"Giảm hết ga, sử dụng đồng thời cả phanh sau và phanh trước.",False,False,ルール8
52,3,Người điều khiển giao thông đường bộ được hiểu như thế nào là đúng?,67,13,[2],False,giao thông,Là người điều khiển phương tiện tham gia giao thông đường bộ.,61,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,86,Là người tham gia giao thông đường bộ.,38,,0,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,False,False,ルール8
56,3,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?,163,32,[1],False,giao thông,"Xe cơ giới, xe máy chuyên dùng phải bật đèn chiếu gần; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; không dừng xe, đỗ xe trong hầm đường bộ; trường hợp gặp sự cố kỹ thuật hoặc bất khả kháng khác buộc phải dừng xe, đỗ xe, người lái xe, người điều khiển xe máy chuyên dùng phải đưa xe vào vị trí dừng xe, đỗ xe khẩn cấp, nếu không di chuyển được, phải có báo hiệu bằng đèn khẩn cấp và đặt biển hoặc đèn cảnh báo về phía sau xe khoảng cách bảo đảm an toàn.",463,"Xe cơ giới, xe máy chuyên dùng phải bật đèn chiếu xa; được dừng xe, đỗ xe khi cần thiết.",88,"Phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép; được quay đầu xe, lùi xe khi cần thiết.",110,,0,"Xe cơ giới, xe máy chuyên dùng phải bật đèn chiếu gần; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; không dừng xe, đỗ xe trong hầm đường bộ; trường hợp gặp sự cố kỹ thuật hoặc bất khả kháng khác buộc phải dừng xe, đỗ xe, người lái xe, người điều khiển xe máy chuyên dùng phải đưa xe vào vị trí dừng xe, đỗ xe khẩn cấp, nếu không di chuyển được, phải có báo hiệu bằng đèn khẩn cấp và đặt biển hoặc đèn cảnh báo về phía sau xe khoảng cách bảo đảm an toàn.",False,True,ルール5
57,3,"Trong các loại nhiên liệu dưới đây, loại nhiên liệu nào giảm thiểu ô nhiễm môi trường?",86,16,[2],False,loại,Xăng và dầu diesel.,19,Xăng sinh học và khí sinh học.,30,Ý 1 và ý 2.,11,,0,Xăng sinh học và khí sinh học.,False,False,ルール8
61,3,"Trên đường không phân chia thành hai chiều xe chạy riêng biệt, người điều khiển phương tiện tham gia giao thông đường bộ phải tránh xe đi ngược chiều như thế nào để bảo đảm an toàn?",181,36,[1],False,giao thông,Giảm tốc độ và cho xe đi về bên phải theo chiều xe chạy của mình.,65,Một trong hai xe phải dừng lại cho xe kia đi qua mới được đi.,61,"Tăng tốc độ, cho xe đi về bên phải theo chiều xe chạy của mình để nhanh chóng vượt qua.",87,,0,Giảm tốc độ và cho xe đi về bên phải theo chiều xe chạy của mình.,False,False,ルール8
62,3,"Gặp biển báo này, người tham gia giao thông phải xử lý như thế nào?",67,14,[3],False,biển,Dừng xe tại khu vực có trạm Cảnh sát giao thông.,48,Tiếp tục lưu thông với tốc độ bình thường.,42,Phải giảm tốc độ đến mức an toàn và không được vượt khi đi qua khu vực này.,75,,0,Phải giảm tốc độ đến mức an toàn và không được vượt khi đi qua khu vực này.,False,False,ルール8
63,3,Người điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?,122,25,[1],False,giao thông,Bị nghiêm cấm.,14,Không bị nghiêm cấm.,20,"Không bị nghiêm cấm, nếu nồng độ cồn trong máu ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",108,,0,Bị nghiêm cấm.,False,False,ルール5
64,3,Người lái xe mô tô có văn hóa giao thông khi tham gia giao thông phải tuân thủ những quy định nào dưới đây?,107,23,[1],False,xe mô tô,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; đội mũ bảo hiểm đúng quy chuẩn kỹ thuật quốc gia, cài quai đúng quy cách.",163,"Điều khiển xe đi trên phần đường, làn đường có ít phương tiện tham gia giao thông.",82,Điều khiển xe và đội mũ bảo hiểm ở nơi có biển báo bắt buộc đội mũ bảo hiểm.,76,,0,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; đội mũ bảo hiểm đúng quy chuẩn kỹ thuật quốc gia, cài quai đúng quy cách.",False,True,ルール6
65,3,Người điều khiển phương tiện tham gia giao thông đường bộ được hiểu như thế nào là đúng?,88,17,[1],False,giao thông,"Là người điều khiển xe cơ giới, người điều khiển xe thô sơ, người điều khiển xe máy chuyên dùng.",96,Là người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,63,Cả hai ý trên.,14,,0,"Là người điều khiển xe cơ giới, người điều khiển xe thô sơ, người điều khiển xe máy chuyên dùng.",False,True,ルール4b
66,3,Làn đường là gì?,18,3,[2],False,làn,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy.",91,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ chiều rộng cho xe chạy an toàn.",108,"Là đường cho xe ô tô chạy, dừng, đỗ an toàn.",44,,0,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ chiều rộng cho xe chạy an toàn.",False,True,ルール8
67,3,"Người lái xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện các hành vi nào dưới đây?",104,24,[3],False,xe mô tô,Đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác.,84,"Sử dụng ô, thiết bị âm thanh, trừ thiết bị trợ thính.",53,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
68,3,"Người lái xe được phép vượt xe trên cầu hẹp có một làn đường, đường cong có tầm nhìn bị hạn chế hay không?",106,23,[2],False,vượt,Được phép vượt khi đường vắng.,30,Không được phép vượt.,21,Được phép vượt khi có việc gấp.,31,,0,Không được phép vượt.,False,False,ルール8
70,3,Có bao nhiêu nhóm biển báo hiệu đường bộ?,41,8,[3],False,biển,"Ba nhóm: Biển báo cấm, biển báo nguy hiểm và biển hiệu lệnh.",60,"Bốn nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh và biển phụ.",71,"Năm nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh, biển chỉ dẫn, biển phụ.",83,,0,"Năm nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh, biển chỉ dẫn, biển phụ.",False,False,ルール7
78,3,"Khi có tín hiệu của xe ưu tiên, người và phương tiện tham gia giao thông đường bộ phải tuân thủ quy định nào dưới đây?",118,25,[1],False,giao thông,"Giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường.",68,Tăng tốc độ và đi sát lề đường bên phải để nhường đường.,56,"Giảm tốc độ, đi sát lề đường bên trái để nhường đường.",54,,0,"Giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường.",False,False,ルール8
80,3,Người lái xe không được vượt xe khác khi gặp trường hợp nào dưới đây?,69,14,[1],False,không,"Trên cầu hẹp có một làn đường; nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; khi gặp xe ưu tiên.",114,Trên cầu có từ 02 làn xe trở lên.,33,Trên đường có 02 làn đường được phân chia làn bằng vạch kẻ nét đứt.,67,,0,"Trên cầu hẹp có một làn đường; nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; khi gặp xe ưu tiên.",False,False,ルール8
81,3,Người lái xe trên đường cần chấp hành quy định về tốc độ tối đa như thế nào?,76,17,[3],False,tốc độ,Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.,50,Chỉ lớn hơn tốc độ tối đa cho phép khi vào ban đêm.,51,Không vượt quá tốc độ tối đa cho phép.,38,,0,Không vượt quá tốc độ tối đa cho phép.,False,False,ルール8
83,3,"Tại nơi có vạch kẻ đường hoặc tại nơi mà người đi bộ, xe lăn của người khuyết tật đang qua đường, người điều khiển phương tiện tham gia giao thông phải thực hiện như thế nào?",174,36,[2],False,giao thông,"Giảm tốc độ và nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường đảm bảo an toàn.",99,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ, xe lăn của người khuyết tật qua đường.",110,"Quan sát, tăng tốc độ và điều khiển phương tiện nhanh chóng đi qua.",67,,0,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ, xe lăn của người khuyết tật qua đường.",False,False,ルール8
84,3,Khái niệm về văn hóa giao thông được hiểu như thế nào là đúng?,62,13,[3],False,giao thông,"Là sự hiểu biết và chấp hành nghiêm chỉnh pháp luật về giao thông, là ý thức trách nhiệm với cộng đồng khi tham gia giao thông.",127,"Là sự tôn trọng, nhường nhịn, giúp đỡ và ứng xử có văn hóa giữa những người tham gia giao thông với nhau.",105,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
86,3,Người lái xe khi tham gia giao thông đường bộ phải đảm bảo các điều kiện nào dưới đây?,86,18,[1],False,giao thông,"Phải đủ tuổi, sức khỏe theo quy định của pháp luật; có giấy phép lái xe đang còn điểm, còn hiệu lực phù hợp với loại xe đang điều khiển do cơ quan có thẩm quyền cấp (trừ người lái xe gắn máy).",192,Phải là người đứng tên trong đăng ký xe.,40,Cả hai ý trên.,14,,0,"Phải đủ tuổi, sức khỏe theo quy định của pháp luật; có giấy phép lái xe đang còn điểm, còn hiệu lực phù hợp với loại xe đang điều khiển do cơ quan có thẩm quyền cấp (trừ người lái xe gắn máy).",False,True,ルール4a
87,3,"Theo hướng mũi tên, những hướng nào xe gắn máy được phép đi?",60,12,[1],False,theo,Cả ba hướng.,12,Chỉ hướng 1 và 3.,17,Chỉ hướng 1.,12,,0,Cả ba hướng.,False,False,ルール8
90,3,"Khi ở một vị trí vừa có biển báo hiệu đặt cố định vừa có biển báo hiệu tạm thời mà hai biển có ý nghĩa khác nhau, người tham gia giao thông đường bộ phải chấp hành hiệu lệnh của biển báo hiệu nào?",196,44,[2],False,biển,Biển báo hiệu đặt cố định.,26,Biển báo hiệu tạm thời.,23,Theo quyết định của người tham gia giao thông nhưng phải bảo đảm an toàn.,73,,0,Biển báo hiệu tạm thời.,False,False,ルール8
91,3,Hành vi nào dưới đây bị nghiêm cấm?,35,7,[2],False,cấm,Sử dụng xe đạp đi trên các tuyến quốc lộ.,41,"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ.",55,Cả hai ý trên.,14,,0,"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ.",False,True,ルール4b
92,3,Phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,91,19,[2],False,tốc độ,Đi về bên trái theo chiều đi của mình.,38,Đi về bên phải theo chiều đi của mình.,38,Đi ở bất cứ bên nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.,95,,0,Đi về bên phải theo chiều đi của mình.,False,False,ルール8
94,3,"Khi tới đường ngang không có người gác, chắn đường bộ, chuông, đèn tín hiệu, người tham gia giao thông đường bộ phải làm gì để bảo đảm an toàn?",143,29,[1],False,giao thông,"Dừng lại về bên phải đường của mình, trước vạch dừng xe và quan sát hai phía, khi không có phương tiện giao thông đường sắt tới mới được đi qua.",144,"Quan sát hai phía, khi không có phương tiện giao thông đường sắt tới thì nhanh chóng đi qua.",92,"Dừng lại khoảng cách tối thiểu 3 mét tính từ ray đường sắt gần nhất, khi không có phương tiện giao thông đường sắt tới thì nhanh chóng đi qua.",142,,0,"Dừng lại về bên phải đường của mình, trước vạch dừng xe và quan sát hai phía, khi không có phương tiện giao thông đường sắt tới mới được đi qua.",False,False,ルール5
